XCOORD.,YCOORD.,EST,TWL,DUR
92,92,0,16000,0
94,71,0,16000,0
53,94,0,16000,0
50,71,67,1397,37
12,66,76,268,26
78,38,394,962,20
65,41,293,365,22
37,33,286,203,22
10,84,334,1218,27
8,18,137,460,36
27,7,423,1243,22
94,83,380,649,36
27,7,316,1132,35
59,63,419,1546,31
45,85,470,1019,39
27,7,385,1502,37
66,17,469,423,28
27,7,507,1374,29
38,14,237,1596,29
42,68,554,1040,38
66,17,460,1043,25
86,68,382,382,24
83,97,575,950,24
22,61,570,1431,27
20,93,308,1307,22
53,7,535,640,39
56,20,548,1456,23
53,43,461,793,21
37,33,492,819,32
18,35,480,854,31
94,83,535,1287,22
21,53,428,106,34
88,29,387,712,22
84,55,540,157,35
53,43,758,1099,28
10,42,702,837,29
20,93,510,1147,30
65,78,616,358,23
21,53,660,1141,38
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,56.0,39.0,42.0,84.0,66.0,63.0,127.0,82.0,147.0,119.0,9.0,119.0,41.0,47.0,119.0,88.0,119.0,108.0,50.0,88.0,48.0,9.0,88.0,72.0,97.0,84.0,73.0,127.0,137.0,9.0,96.0,75.0,49.0,73.0,145.0,72.0,27.0,96.0
56.0,0.0,46.0,44.0,86.0,33.0,30.0,94.0,84.0,114.0,86.0,58.0,86.0,35.0,49.0,86.0,55.0,86.0,75.0,52.0,55.0,8.0,49.0,90.0,74.0,64.0,51.0,41.0,94.0,104.0,58.0,98.0,42.0,16.0,41.0,112.0,74.0,30.0,98.0
39.0,46.0,0.0,31.0,45.0,56.0,53.0,117.0,43.0,137.0,109.0,41.0,109.0,31.0,9.0,109.0,78.0,109.0,98.0,39.0,78.0,38.0,30.0,49.0,33.0,87.0,74.0,63.0,117.0,127.0,41.0,57.0,65.0,39.0,63.0,135.0,33.0,16.0,57.0
42.0,44.0,31.0,0.0,70.0,33.0,30.0,94.0,68.0,114.0,86.0,44.0,86.0,9.0,33.0,86.0,55.0,86.0,75.0,8.0,55.0,36.0,34.0,74.0,58.0,64.0,51.0,40.0,94.0,104.0,44.0,82.0,42.0,34.0,40.0,112.0,58.0,15.0,82.0
84.0,86.0,45.0,70.0,0.0,95.0,92.0,156.0,26.0,176.0,148.0,86.0,148.0,70.0,38.0,148.0,117.0,148.0,137.0,78.0,117.0,78.0,75.0,10.0,28.0,126.0,113.0,102.0,156.0,166.0,86.0,13.0,104.0,78.0,102.0,174.0,28.0,57.0,13.0
66.0,33.0,56.0,33.0,95.0,0.0,13.0,73.0,93.0,93.0,65.0,68.0,65.0,25.0,58.0,65.0,34.0,65.0,54.0,36.0,34.0,30.0,59.0,99.0,83.0,43.0,30.0,25.0,73.0,83.0,68.0,107.0,14.0,18.0,25.0,91.0,83.0,40.0,107.0
