XCOORD.,YCOORD.,EST,TWL,DUR
11,22,0,16000,0
44,56,0,16000,0
94,71,0,16000,0
10,84,167,1009,20
29,89,321,913,36
42,68,344,1293,31
21,53,247,1599,36
94,83,432,1500,28
59,63,179,488,35
93,60,323,330,38
42,60,239,120,36
56,32,288,456,38
20,93,321,929,21
77,2,404,442,38
42,41,498,449,28
56,32,333,804,21
21,53,324,832,22
78,38,510,506,29
10,84,253,1260,37
53,43,311,743,26
77,2,253,1061,23
15,2,517,116,34
71,50,363,828,35
56,32,471,848,37
20,18,355,1517,20
30,75,569,187,35
71,50,588,438,25
76,22,565,250,26
38,14,533,451,31
42,41,548,753,21
20,93,676,1571,22
18,35,499,1287,26
53,43,494,1534,38
75,86,495,1491,32
92,16,466,352,26
78,38,544,1257,34
56,32,587,1582,22
15,2,538,1363,22
20,93,606,1575,39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,112.0,111.0,171.0,152.0,114.0,185.0,146.0,103.0,105.0,114.0,72.0,161.0,75.0,31.0,72.0,185.0,90.0,171.0,83.0,75.0,62.0,90.0,72.0,9.0,163.0,90.0,74.0,36.0,31.0,161.0,13.0,83.0,127.0,91.0,90.0,72.0,62.0,161.0
112.0,0.0,50.0,75.0,56.0,12.0,89.0,50.0,15.0,49.0,4.0,40.0,65.0,70.0,103.0,40.0,89.0,34.0,75.0,41.0,70.0,99.0,27.0,40.0,103.0,67.0,27.0,66.0,76.0,103.0,65.0,105.0,41.0,31.0,83.0,34.0,40.0,99.0,65.0
111.0,50.0,0.0,84.0,65.0,52.0,98.0,58.0,35.0,11.0,52.0,39.0,74.0,69.0,102.0,39.0,98.0,33.0,84.0,41.0,69.0,98.0,23.0,39.0,102.0,76.0,23.0,65.0,75.0,102.0,74.0,104.0,41.0,39.0,82.0,33.0,39.0,98.0,74.0
171.0,75.0,84.0,0.0,19.0,76.0,38.0,84.0,68.0,83.0,76.0,99.0,10.0,129.0,162.0,99.0,38.0,93.0,0.0,100.0,129.0,158.0,81.0,99.0,162.0,20.0,81.0,125.0,135.0,162.0,10.0,164.0,100.0,65.0,142.0,93.0,99.0,158.0,10.0
152.0,56.0,65.0,19.0,0.0,57.0,36.0,65.0,49.0,64.0,57.0,80.0,9.0,110.0,143.0,80.0,36.0,74.0,19.0,81.0,110.0,139.0,62.0,80.0,143.0,14.0,62.0,106.0,116.0,143.0,9.0,145.0,81.0,46.0,123.0,74.0,80.0,139.0,9.0
114.0,12.0,52.0,76.0,57.0,0.0,90.0,52.0,17.0,51.0,8.0,42.0,66.0,72.0,105.0,42.0,90.0,36.0,76.0,43.0,72.0,101.0,29.0,42.0,105.0,68.0,29.0,68.0,78.0,105.0,66.0,107.0,43.0,33.0,85.0,36.0,42.0,101.0,66.0
