XCOORD.,YCOORD.,EST,TWL,DUR
44,56,0,16000,0
89,7,0,16000,0
11,22,0,16000,0
71,96,258,1516,25
93,60,125,495,29
77,2,213,635,36
88,29,416,885,38
42,68,377,702,37
68,65,362,122,23
29,89,211,289,27
76,22,461,619,32
71,96,366,113,20
86,68,406,327,35
56,32,190,1397,30
31,42,459,666,30
52,55,234,869,21
24,80,309,1377,26
53,43,244,233,28
8,18,412,1289,34
50,71,372,974,38
76,70,237,351,22
37,33,419,1496,24
39,2,358,436,26
93,60,510,226,21
9,54,525,1421,35
88,29,613,1257,27
86,68,653,1228,39
24,80,406,528,30
10,42,392,277,30
71,50,531,668,24
38,14,494,179,24
42,23,521,1559,22
8,18,414,171,38
30,58,796,712,38
76,22,780,493,33
27,7,683,679,30
76,22,599,826,32
9,54,810,975,20
66,17,709,352,27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,79.0,112.0,40.0,49.0,70.0,48.0,12.0,24.0,56.0,66.0,40.0,42.0,40.0,104.0,8.0,62.0,41.0,115.0,15.0,32.0,95.0,75.0,49.0,88.0,48.0,42.0,62.0,113.0,27.0,76.0,85.0,115.0,84.0,66.0,87.0,66.0,88.0,56.0
79.0,0.0,87.0,103.0,72.0,12.0,71.0,81.0,72.0,119.0,29.0,103.0,75.0,39.0,79.0,71.0,125.0,50.0,90.0,78.0,77.0,70.0,50.0,72.0,151.0,71.0,75.0,125.0,88.0,57.0,51.0,60.0,90.0,147.0,29.0,62.0,29.0,151.0,24.0
112.0,87.0,0.0,136.0,105.0,75.0,104.0,114.0,105.0,152.0,74.0,136.0,108.0,72.0,20.0,104.0,158.0,83.0,4.0,111.0,110.0,26.0,48.0,105.0,184.0,104.0,108.0,158.0,20.0,90.0,36.0,31.0,4.0,180.0,74.0,50.0,74.0,184.0,64.0
40.0,103.0,136.0,0.0,47.0,94.0,67.0,41.0,31.0,44.0,90.0,0.0,40.0,64.0,128.0,41.0,50.0,65.0,139.0,33.0,30.0,119.0,99.0,47.0,76.0,67.0,40.0,50.0,137.0,46.0,100.0,109.0,139.0,72.0,90.0,111.0,90.0,76.0,80.0
49.0,72.0,105.0,47.0,0.0,63.0,36.0,51.0,25.0,64.0,59.0,47.0,8.0,37.0,97.0,41.0,70.0,40.0,108.0,43.0,17.0,88.0,68.0,0.0,96.0,36.0,8.0,70.0,106.0,22.0,69.0,78.0,108.0,92.0,59.0,80.0,59.0,96.0,49.0
70.0,12.0,75.0,94.0,63.0,0.0,62.0,72.0,63.0,110.0,20.0,94.0,66.0,30.0,67.0,62.0,116.0,41.0,78.0,69.0,68.0,58.0,38.0,63.0,142.0,62.0,66.0,116.0,76.0,48.0,39.0,48.0,78.0,138.0,20.0,50.0,20.0,142.0,15.0
48.0,71.0,104.0,67.0,36.0,62.0,0.0,50.0,36.0,83.0,58.0,67.0,39.0,36.0,96.0,40.0,89.0,39.0,107.0,42.0,41.0,87.0,67.0,36.0,115.0,0.0,39.0,89.0,105.0,21.0,68.0,77.0,107.0,111.0,58.0,79.0,58.0,115.0,48.0
