XCOORD.,YCOORD.,EST,TWL,DUR
90,37,0,16000,0
89,7,0,16000,0
11,60,0,16000,0
39,97,297,1409,34
76,58,94,947,23
76,22,178,197,22
65,41,271,195,30
71,50,176,1008,31
7,32,85,833,39
30,75,291,1411,24
59,63,167,896,21
39,2,227,1576,39
94,83,397,683,24
42,60,284,393,37
78,38,302,958,24
10,42,244,130,30
84,55,495,807,37
59,63,232,696,23
42,52,500,1505,21
10,42,348,754,37
8,96,451,1288,27
10,84,554,1345,37
65,41,453,1209,23
75,86,314,1341,39
30,58,565,935,37
83,97,668,1519,27
56,20,553,475,26
66,17,571,1207,21
10,84,441,1331,29
39,97,577,886,30
42,23,699,156,35
86,68,610,805,35
8,18,486,1243,36
37,33,618,705,34
88,29,672,725,24
56,32,578,984,27
56,32,732,903,22
66,17,730,748,37
45,85,744,432,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,69.0,106.0,70.0,26.0,56.0,25.0,19.0,106.0,91.0,31.0,65.0,74.0,48.0,12.0,103.0,24.0,31.0,48.0,103.0,101.0,99.0,25.0,55.0,108.0,65.0,42.0,46.0,99.0,70.0,75.0,36.0,105.0,85.0,8.0,34.0,34.0,46.0,64.0
69.0,0.0,145.0,109.0,65.0,29.0,48.0,57.0,91.0,130.0,70.0,50.0,113.0,81.0,57.0,88.0,63.0,70.0,81.0,88.0,140.0,138.0,48.0,94.0,147.0,104.0,33.0,24.0,138.0,109.0,60.0,75.0,90.0,70.0,71.0,39.0,39.0,24.0,103.0
106.0,145.0,0.0,37.0,80.0,132.0,97.0,88.0,182.0,19.0,75.0,141.0,91.0,83.0,100.0,179.0,83.0,75.0,86.0,179.0,36.0,31.0,97.0,72.0,19.0,80.0,118.0,122.0,31.0,37.0,151.0,83.0,181.0,161.0,109.0,106.0,106.0,122.0,43.0
70.0,109.0,37.0,0.0,44.0,96.0,61.0,52.0,146.0,22.0,39.0,105.0,55.0,47.0,64.0,143.0,47.0,39.0,50.0,143.0,31.0,29.0,61.0,36.0,39.0,44.0,82.0,86.0,29.0,0.0,115.0,47.0,145.0,125.0,73.0,70.0,70.0,86.0,12.0
26.0,65.0,80.0,44.0,0.0,52.0,17.0,8.0,102.0,65.0,17.0,61.0,48.0,34.0,20.0,99.0,8.0,17.0,34.0,99.0,75.0,73.0,17.0,29.0,82.0,39.0,38.0,42.0,73.0,44.0,71.0,10.0,101.0,81.0,29.0,26.0,26.0,42.0,38.0
56.0,29.0,132.0,96.0,52.0,0.0,35.0,44.0,78.0,117.0,57.0,37.0,100.0,68.0,44.0,75.0,50.0,57.0,68.0,75.0,127.0,125.0,35.0,81.0,134.0,91.0,20.0,10.0,125.0,96.0,47.0,62.0,77.0,57.0,58.0,26.0,26.0,10.0,90.0
