XCOORD.,YCOORD.,EST,TWL,DUR
10,94,0,16000,0
11,60,0,16000,0
53,94,0,16000,0
65,78,261,1546,37
76,22,50,1116,30
97,72,351,205,24
37,33,375,704,34
71,96,383,1185,35
21,53,150,1213,38
89,40,204,105,25
78,38,372,246,33
52,55,166,689,29
45,85,128,1545,35
27,7,381,877,35
53,7,38,780,36
12,66,234,1221,31
38,14,183,918,20
88,29,183,546,20
53,7,249,116,21
42,23,59,436,24
10,42,365,1301,29
10,84,194,316,35
45,85,107,1511,25
42,68,202,1376,30
89,40,145,964,32
86,68,133,1364,28
83,97,239,358,36
42,60,78,935,38
20,18,80,686,29
12,66,312,943,27
66,17,386,1109,22
77,2,165,1570,34
56,20,106,1098,24
83,97,222,122,22
21,53,125,574,26
12,66,69,464,35
75,86,255,611,21
51,92,281,742,28
22,61,109,888,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,34.0,43.0,55.0,125.0,87.0,154.0,63.0,41.0,98.0,93.0,76.0,36.0,146.0,124.0,29.0,135.0,102.0,124.0,144.0,172.0,10.0,36.0,76.0,98.0,76.0,73.0,76.0,162.0,29.0,115.0,129.0,111.0,73.0,41.0,29.0,65.0,41.0,33.0
34.0,0.0,50.0,62.0,132.0,94.0,161.0,70.0,10.0,105.0,100.0,83.0,43.0,153.0,131.0,6.0,142.0,109.0,131.0,151.0,179.0,31.0,43.0,83.0,105.0,83.0,80.0,83.0,169.0,6.0,122.0,136.0,118.0,80.0,10.0,6.0,72.0,48.0,11.0
43.0,50.0,0.0,16.0,88.0,49.0,117.0,20.0,57.0,61.0,56.0,39.0,9.0,109.0,87.0,45.0,98.0,65.0,87.0,107.0,135.0,43.0,9.0,39.0,61.0,38.0,30.0,39.0,125.0,45.0,78.0,92.0,74.0,30.0,57.0,45.0,22.0,2.0,49.0
55.0,62.0,16.0,0.0,72.0,33.0,101.0,18.0,69.0,45.0,40.0,23.0,20.0,93.0,71.0,57.0,82.0,49.0,71.0,91.0,119.0,55.0,20.0,23.0,45.0,22.0,19.0,23.0,109.0,57.0,62.0,76.0,58.0,19.0,69.0,57.0,10.0,14.0,61.0
125.0,132.0,88.0,72.0,0.0,66.0,57.0,90.0,139.0,55.0,44.0,58.0,90.0,49.0,23.0,127.0,38.0,58.0,23.0,47.0,75.0,125.0,90.0,68.0,55.0,62.0,91.0,68.0,65.0,127.0,10.0,20.0,20.0,91.0,139.0,127.0,81.0,86.0,131.0
87.0,94.0,49.0,33.0,66.0,0.0,95.0,51.0,101.0,39.0,34.0,45.0,52.0,87.0,65.0,89.0,76.0,43.0,65.0,85.0,113.0,87.0,52.0,55.0,39.0,11.0,52.0,55.0,103.0,89.0,56.0,70.0,52.0,52.0,101.0,89.0,42.0,47.0,93.0
