XCOORD.,YCOORD.,EST,TWL,DUR
11,22,0,16000,0
92,92,0,16000,0
44,56,0,16000,0
42,41,335,1468,25
83,97,26,749,21
50,71,324,113,31
31,42,159,617,22
76,70,333,1240,34
7,32,176,119,37
93,60,282,1128,35
12,66,48,425,30
53,7,292,403,23
77,2,68,1397,24
31,42,151,1497,37
51,92,389,692,26
21,72,255,1310,39
9,54,74,495,33
71,96,205,275,38
92,16,238,1581,37
92,16,284,847,21
83,97,228,1573,23
22,61,205,209,26
29,89,366,1593,39
18,35,328,907,25
52,55,77,470,28
92,16,230,884,22
18,35,86,1161,28
42,68,320,1126,37
78,38,164,1334,30
78,38,237,363,29
42,23,177,1250,37
92,16,245,730,33
37,33,77,365,21
9,54,239,1290,20
78,38,230,563,21
65,78,61,306,21
18,35,173,824,31
83,97,46,407,22
9,54,392,802,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,144.0,112.0,31.0,137.0,111.0,20.0,110.0,10.0,105.0,173.0,51.0,75.0,20.0,132.0,166.0,184.0,136.0,91.0,91.0,137.0,177.0,152.0,13.0,104.0,91.0,13.0,114.0,90.0,90.0,31.0,91.0,26.0,184.0,90.0,118.0,13.0,137.0,184.0
144.0,0.0,48.0,135.0,9.0,42.0,136.0,38.0,148.0,55.0,84.0,97.0,102.0,136.0,41.0,77.0,95.0,21.0,115.0,115.0,9.0,88.0,63.0,137.0,49.0,115.0,137.0,50.0,66.0,66.0,117.0,115.0,127.0,95.0,66.0,27.0,137.0,9.0,95.0
112.0,48.0,0.0,103.0,41.0,15.0,104.0,32.0,116.0,49.0,77.0,65.0,70.0,104.0,36.0,70.0,88.0,40.0,83.0,83.0,41.0,81.0,56.0,105.0,8.0,83.0,105.0,12.0,34.0,34.0,85.0,83.0,95.0,88.0,34.0,22.0,105.0,41.0,88.0
31.0,135.0,103.0,0.0,128.0,102.0,11.0,101.0,35.0,96.0,164.0,42.0,66.0,11.0,123.0,157.0,175.0,127.0,82.0,82.0,128.0,168.0,143.0,24.0,95.0,82.0,24.0,105.0,81.0,81.0,18.0,82.0,8.0,175.0,81.0,109.0,24.0,128.0,175.0
137.0,9.0,41.0,128.0,0.0,34.0,129.0,31.0,141.0,48.0,75.0,90.0,95.0,129.0,32.0,68.0,86.0,12.0,108.0,108.0,0.0,79.0,54.0,130.0,42.0,108.0,130.0,42.0,59.0,59.0,110.0,108.0,120.0,86.0,59.0,19.0,130.0,0.0,86.0
111.0,42.0,15.0,102.0,34.0,0.0,103.0,26.0,115.0,43.0,70.0,64.0,69.0,103.0,29.0,63.0,81.0,33.0,82.0,82.0,34.0,74.0,49.0,104.0,16.0,82.0,104.0,8.0,33.0,33.0,84.0,82.0,94.0,81.0,33.0,15.0,104.0,34.0,81.0
