XCOORD.,YCOORD.,EST,TWL,DUR
53,94,0,16000,0
11,60,0,16000,0
89,7,0,16000,0
30,75,385,151,29
38,14,25,1598,38
42,68,81,248,20
71,50,134,417,28
68,65,253,765,30
92,16,177,1285,37
10,84,194,1412,35
89,40,318,1240,23
10,42,367,834,22
56,32,206,237,39
8,18,258,933,23
65,41,362,539,30
94,83,273,1588,34
27,28,229,737,38
27,7,278,1568,26
18,35,335,945,32
10,84,96,1220,21
12,66,99,303,32
8,18,288,1152,25
50,71,111,211,25
88,29,67,1023,30
52,55,238,1216,37
22,61,199,585,28
71,96,103,538,24
75,86,55,214,31
38,14,351,1588,35
31,42,191,1003,24
22,61,90,136,31
56,20,51,982,27
42,23,283,1265,33
30,75,274,1270,29
30,75,269,1078,37
27,28,28,975,20
21,53,164,1036,30
20,93,245,1221,36
66,17,385,1589,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,50.0,101.0,35.0,98.0,39.0,44.0,29.0,105.0,43.0,61.0,135.0,62.0,137.0,53.0,41.0,118.0,109.0,127.0,43.0,45.0,137.0,31.0,65.0,39.0,49.0,20.0,22.0,98.0,126.0,49.0,74.0,107.0,35.0,35.0,118.0,57.0,33.0,78.0
50.0,0.0,145.0,19.0,142.0,83.0,88.0,73.0,149.0,31.0,105.0,179.0,106.0,181.0,97.0,91.0,162.0,153.0,171.0,31.0,6.0,181.0,75.0,109.0,83.0,11.0,70.0,72.0,142.0,170.0,11.0,118.0,151.0,19.0,19.0,162.0,10.0,33.0,122.0
101.0,145.0,0.0,130.0,51.0,81.0,57.0,72.0,9.0,138.0,68.0,88.0,39.0,90.0,48.0,113.0,71.0,62.0,80.0,138.0,140.0,90.0,78.0,71.0,71.0,144.0,103.0,94.0,51.0,79.0,144.0,33.0,60.0,130.0,130.0,71.0,152.0,128.0,24.0
35.0,19.0,130.0,0.0,127.0,68.0,73.0,58.0,134.0,20.0,90.0,164.0,91.0,166.0,82.0,76.0,147.0,138.0,156.0,20.0,18.0,166.0,60.0,94.0,68.0,14.0,55.0,57.0,127.0,155.0,14.0,103.0,136.0,0.0,0.0,147.0,22.0,18.0,107.0
98.0,142.0,51.0,127.0,0.0,78.0,54.0,69.0,55.0,135.0,65.0,37.0,36.0,39.0,45.0,110.0,20.0,14.0,29.0,135.0,137.0,39.0,75.0,68.0,68.0,141.0,100.0,91.0,0.0,28.0,141.0,24.0,9.0,127.0,127.0,20.0,149.0,125.0,28.0
39.0,83.0,81.0,68.0,78.0,0.0,29.0,26.0,85.0,76.0,47.0,115.0,42.0,117.0,33.0,52.0,98.0,89.0,107.0,76.0,78.0,117.0,8.0,50.0,13.0,82.0,41.0,33.0,78.0,106.0,82.0,54.0,87.0,68.0,68.0,98.0,90.0,66.0,58.0
