XCOORD.,YCOORD.,EST,TWL,DUR
10,94,0,16000,0
92,92,0,16000,0
53,94,0,16000,0
94,71,0,16000,0
49,3,0,16000,0
11,60,0,16000,0
44,56,0,16000,0
90,37,0,16000,0
11,22,0,16000,0
89,7,0,16000,0
10,84,109,104,22
65,78,228,942,31
78,38,46,755,25
15,2,160,615,23
22,61,211,1289,26
37,33,224,1315,37
71,50,66,669,26
30,58,250,860,25
10,84,223,365,22
92,16,55,512,32
8,96,318,1434,36
76,70,329,848,34
21,72,59,1437,21
71,50,207,1421,25
31,42,56,1029,33
93,60,340,889,33
53,43,212,750,24
94,83,308,245,35
8,18,371,891,38
92,16,360,1004,28
56,32,270,243,29
71,96,220,501,20
20,18,273,275,35
89,40,263,546,36
65,78,381,1217,35
53,43,38,384,20
31,42,166,935,31
8,96,49,898,35
86,68,306,1463,34
83,97,368,450,22
78,38,195,368,37
27,28,350,571,25
89,40,232,1270,32
39,2,337,1109,25
65,41,98,1080,35
30,58,280,765,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
