XCOORD.,YCOORD.,EST,TWL,DUR
94,71,0,16000,0
53,94,0,16000,0
11,60,0,16000,0
92,92,0,16000,0
11,22,0,16000,0
89,7,0,16000,0
49,3,0,16000,0
10,94,0,16000,0
44,56,0,16000,0
90,37,0,16000,0
8,18,192,1165,27
56,20,79,128,24
8,18,39,1165,24
88,29,325,584,32
71,50,183,1138,22
76,58,95,744,20
83,97,383,141,37
56,32,105,759,34
53,7,33,1079,33
76,58,284,280,27
37,33,128,694,31
78,38,249,966,34
71,96,362,960,25
12,66,166,643,21
20,93,152,1529,26
92,16,366,839,22
76,22,282,693,24
29,89,157,320,20
51,92,327,820,24
12,66,366,171,37
76,58,374,724,37
45,85,252,1134,26
83,97,46,1238,25
12,66,262,937,23
65,78,392,1409,24
65,78,27,952,33
71,50,393,881,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
