XCOORD.,YCOORD.,EST,TWL,DUR
11,22,0,16000,0
44,56,0,16000,0
89,7,0,16000,0
53,94,0,16000,0
11,60,0,16000,0
49,3,0,16000,0
90,37,0,16000,0
10,94,0,16000,0
92,92,0,16000,0
94,71,0,16000,0
42,68,43,1371,35
66,17,377,917,27
20,18,154,803,30
66,17,281,169,22
30,75,278,149,39
56,20,333,1185,38
94,83,83,520,30
8,96,367,379,39
59,63,219,1034,25
50,71,30,683,32
50,71,315,1278,23
18,35,178,1077,28
29,89,51,1178,38
76,22,210,831,37
30,75,244,1233,22
42,23,244,1023,28
31,42,256,1073,20
77,2,60,110,30
12,66,38,200,38
71,50,72,257,23
18,35,376,620,39
76,22,308,1199,22
88,29,122,265,27
50,71,132,1307,29
31,42,71,458,25
21,72,73,1096,28
20,93,322,836,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
