XCOORD.,YCOORD.,EST,TWL,DUR
53,94,0,16000,0
89,7,0,16000,0
94,71,0,16000,0
11,60,0,16000,0
92,92,0,16000,0
90,37,0,16000,0
44,56,0,16000,0
11,22,0,16000,0
10,94,0,16000,0
49,3,0,16000,0
9,54,211,836,28
24,80,160,512,36
76,22,352,1356,39
76,58,293,121,34
31,42,42,1364,25
92,16,331,652,34
76,58,301,563,37
8,18,297,593,31
68,65,199,303,31
45,85,356,668,38
83,97,208,1446,39
29,89,356,1149,20
97,72,223,1149,21
10,84,231,1033,21
76,22,276,388,29
8,18,134,409,24
71,96,317,1403,34
88,29,31,1438,27
97,72,357,135,26
39,2,200,1199,28
31,42,157,427,24
65,41,373,668,24
8,18,347,610,27
56,32,319,1395,20
83,97,220,133,38
89,40,52,1527,26
12,66,172,428,20
18,35,143,349,35
31,42,225,1076,33
76,70,61,800,34
31,42,218,795,34
97,72,180,411,29
42,60,248,109,32
51,92,112,1438,25
31,42,35,707,27
18,35,116,1511,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
