XCOORD.,YCOORD.,EST,TWL,DUR
94,71,0,16000,0
11,22,0,16000,0
92,92,0,16000,0
11,60,0,16000,0
49,3,0,16000,0
44,56,0,16000,0
89,7,0,16000,0
90,37,0,16000,0
10,94,0,16000,0
53,94,0,16000,0
20,18,186,928,29
29,89,175,177,37
52,55,338,355,25
9,54,393,189,25
27,7,36,132,33
71,50,391,550,31
83,97,44,101,39
45,85,300,453,33
53,43,63,1397,27
52,55,351,181,27
76,70,185,1301,35
8,18,41,1112,31
94,83,345,198,21
71,50,240,391,32
10,84,144,120,37
53,7,374,1487,32
9,54,112,398,24
8,96,171,1135,21
22,61,79,463,31
8,18,195,904,36
37,33,352,606,21
76,58,164,901,22
12,66,76,637,22
8,96,78,1142,37
27,7,105,1187,38
10,84,75,1278,22
76,58,238,414,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
