XCOORD.,YCOORD.,EST,TWL,DUR
92,92,0,16000,0
53,94,0,16000,0
10,94,0,16000,0
94,71,0,16000,0
89,7,0,16000,0
49,3,0,16000,0
11,60,0,16000,0
11,22,0,16000,0
44,56,0,16000,0
90,37,0,16000,0
94,83,117,1191,22
77,2,98,1080,27
66,17,272,895,38
78,38,315,258,36
27,28,134,585,27
75,86,365,544,26
92,16,316,938,25
42,41,123,692,20
59,63,393,1598,21
71,50,78,1162,39
31,42,113,502,34
30,75,114,467,36
10,42,254,379,31
76,22,239,471,36
39,97,164,1087,32
94,83,76,135,33
39,97,357,125,32
42,23,237,1433,33
83,97,361,1184,29
30,75,177,335,31
83,97,250,1261,23
53,7,123,1450,20
94,83,50,1213,26
12,66,74,336,34
7,32,169,498,24
93,60,220,694,36
77,2,38,279,28
39,2,85,849,36
10,84,33,983,29
83,97,320,351,30
66,17,286,1426,37
38,14,76,643,22
8,18,210,708,34
56,20,365,209,21
42,68,63,1355,39
38,14,386,595,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
