XCOORD.,YCOORD.,EST,TWL,DUR
11,22,0,16000,0
10,94,0,16000,0
92,92,0,16000,0
94,71,0,16000,0
11,60,0,16000,0
89,7,0,16000,0
49,3,0,16000,0
44,56,0,16000,0
90,37,0,16000,0
53,94,0,16000,0
8,96,395,1070,35
94,83,83,1081,27
38,14,393,1174,24
56,32,393,1153,37
42,23,285,764,27
8,18,303,443,25
84,55,80,434,21
42,52,55,1576,20
29,89,122,517,34
52,55,56,627,21
10,42,259,1237,35
7,32,222,741,24
76,22,87,1282,20
10,42,299,734,39
21,72,194,422,36
8,96,377,611,22
50,71,93,448,39
30,75,113,932,28
8,18,192,1536,25
68,65,82,329,30
65,78,103,458,30
53,43,70,957,38
21,53,314,1533,29
42,68,163,357,39
92,16,175,1183,34
83,97,294,258,27
22,61,364,821,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
