XCOORD.,YCOORD.,EST,TWL,DUR
92,92,0,16000,0
49,3,0,16000,0
11,60,0,16000,0
90,37,0,16000,0
10,94,0,16000,0
94,71,0,16000,0
89,7,0,16000,0
53,94,0,16000,0
44,56,0,16000,0
11,22,0,16000,0
24,80,68,127,25
94,83,296,165,34
53,43,316,1349,21
20,18,158,732,21
30,58,386,1356,33
7,32,218,1041,22
29,89,389,154,38
89,40,334,203,30
56,32,134,693,38
45,85,134,879,35
76,22,203,1132,23
39,2,290,471,32
12,66,154,337,24
27,28,105,1290,31
59,63,395,242,24
20,18,98,1291,32
92,16,242,889,33
93,60,118,954,22
89,40,241,929,23
10,84,115,961,22
21,53,175,1592,26
27,7,378,402,32
42,52,40,1090,38
29,89,199,1406,35
45,85,382,803,32
21,53,34,1385,26
42,68,106,1075,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
