XCOORD.,YCOORD.,EST,TWL,DUR
49,3,0,16000,0
94,71,0,16000,0
10,94,0,16000,0
90,37,0,16000,0
44,56,0,16000,0
11,60,0,16000,0
11,22,0,16000,0
89,7,0,16000,0
53,94,0,16000,0
92,92,0,16000,0
71,50,169,1518,33
45,85,125,185,34
78,38,301,404,33
92,16,248,812,34
83,97,360,899,33
10,42,259,223,38
21,72,341,706,37
20,18,272,168,27
20,18,168,396,28
22,61,227,1440,33
27,28,296,1417,22
76,22,236,106,33
53,7,121,493,36
21,53,375,663,37
31,42,281,708,38
76,58,395,640,23
78,38,237,1103,26
45,85,289,994,34
89,40,225,1343,31
7,32,229,1536,20
10,84,97,232,32
22,61,245,235,23
92,16,279,1352,25
65,41,307,1234,23
76,22,58,738,34
76,70,199,510,35
30,75,125,1363,37
56,20,25,661,31
94,83,85,1173,34
52,55,189,574,30
21,53,162,1562,27
83,97,98,1217,21
10,84,399,894,28
39,2,171,754,22
38,14,146,963,23
30,58,82,858,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
