XCOORD.,YCOORD.,EST,TWL,DUR
11,60,0,16000,0
10,94,0,16000,0
44,56,0,16000,0
11,22,0,16000,0
53,94,0,16000,0
92,92,0,16000,0
90,37,0,16000,0
89,7,0,16000,0
94,71,0,16000,0
49,3,0,16000,0
9,54,234,1218,27
53,43,169,342,21
8,18,76,1201,34
77,2,268,213,21
65,78,380,327,31
27,7,286,981,29
42,60,259,1281,24
29,89,385,1356,26
20,18,152,1018,23
94,83,343,540,26
89,40,58,971,30
24,80,96,1352,31
71,50,51,1306,23
66,17,142,131,34
7,32,45,379,37
24,80,371,505,29
75,86,391,997,24
22,61,321,236,33
86,68,163,800,31
8,96,367,1180,32
42,68,236,1201,20
75,86,261,1465,27
21,53,268,1030,23
42,52,306,1587,22
38,14,31,779,34
8,96,242,445,39
9,54,255,350,37
20,93,101,1228,36
53,7,200,189,27
37,33,165,855,24
56,20,236,476,23
30,58,55,553,31
89,40,69,340,39
18,35,56,106,37
9,54,177,1511,33
94,83,320,1468,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
