XCOORD.,YCOORD.,EST,TWL,DUR
90,37,0,16000,0
10,94,0,16000,0
89,7,0,16000,0
92,92,0,16000,0
44,56,0,16000,0
94,71,0,16000,0
11,60,0,16000,0
11,22,0,16000,0
49,3,0,16000,0
53,94,0,16000,0
65,41,292,1370,32
88,29,350,761,35
68,65,89,1485,35
42,60,152,1265,32
88,29,364,376,27
21,53,92,158,38
10,84,254,826,22
71,96,249,1236,39
20,93,183,213,25
31,42,35,990,32
71,96,198,440,37
51,92,181,1255,20
9,54,78,161,36
66,17,91,619,34
8,18,88,989,21
84,55,192,1474,26
42,60,254,1578,27
76,70,315,1033,24
78,38,215,918,39
51,92,58,752,24
92,16,136,186,28
56,32,217,769,38
78,38,189,1518,29
97,72,34,1537,37
66,17,398,1347,37
50,71,102,1235,23
42,52,216,1573,22
78,38,177,187,21
30,58,373,868,38
38,14,164,939,27
9,54,245,801,30
77,2,238,1191,30
30,75,215,535,27
68,65,81,1152,36
66,17,122,545,21
56,20,290,1049,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
