XCOORD.,YCOORD.,EST,TWL,DUR
89,7,0,16000,0
94,71,0,16000,0
44,56,0,16000,0
92,92,0,16000,0
11,22,0,16000,0
53,94,0,16000,0
10,94,0,16000,0
49,3,0,16000,0
11,60,0,16000,0
90,37,0,16000,0
18,35,98,1539,26
88,29,129,1566,23
42,52,374,1439,34
56,20,103,737,29
56,20,229,177,35
65,78,370,981,32
76,22,205,1352,24
66,17,191,1022,27
42,41,211,968,29
21,53,245,136,24
8,18,374,720,27
94,83,382,1005,38
12,66,309,1489,25
42,52,259,1010,24
93,60,229,945,31
77,2,260,496,39
65,41,55,417,21
88,29,172,1213,34
8,18,137,1262,38
93,60,395,273,30
7,32,146,1152,21
76,22,118,793,29
12,66,78,1203,31
93,60,129,938,34
53,7,39,1456,21
27,28,372,889,34
94,83,276,1411,29
94,83,384,258,21
50,71,60,683,30
42,68,156,148,29
10,42,49,117,35
84,55,327,672,33
9,54,128,1334,38
78,38,176,188,33
76,22,163,242,34
21,72,305,1355,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
