XCOORD.,YCOORD.,EST,TWL,DUR
11,22,0,16000,0
10,94,0,16000,0
92,92,0,16000,0
89,7,0,16000,0
90,37,0,16000,0
11,60,0,16000,0
49,3,0,16000,0
94,71,0,16000,0
44,56,0,16000,0
53,94,0,16000,0
45,85,251,700,24
89,40,270,1081,23
29,89,183,284,22
65,78,189,769,30
68,65,95,803,24
24,80,368,1054,38
42,41,233,331,27
50,71,298,989,31
27,28,257,912,24
30,58,113,429,31
77,2,169,1458,35
56,32,178,1359,25
42,68,169,106,24
42,23,277,1423,27
89,40,66,1140,31
45,85,303,830,27
53,7,129,533,36
12,66,143,973,28
97,72,216,642,38
8,96,397,1298,25
18,35,272,610,39
31,42,319,185,24
37,33,158,601,38
77,2,171,374,31
38,14,182,843,34
53,7,125,871,38
94,83,223,289,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
