XCOORD.,YCOORD.,EST,TWL,DUR
11,22,0,16000,0
10,94,0,16000,0
44,56,0,16000,0
11,60,0,16000,0
49,3,0,16000,0
94,71,0,16000,0
53,94,0,16000,0
92,92,0,16000,0
89,7,0,16000,0
90,37,0,16000,0
65,78,33,881,36
7,32,365,209,27
42,41,296,810,39
42,60,163,1089,36
38,14,199,1531,34
27,7,303,856,21
56,20,177,822,35
7,32,324,1334,34
42,41,143,731,37
88,29,41,695,30
10,84,188,835,22
65,41,70,1584,34
30,75,114,1267,37
8,18,26,415,36
71,50,40,636,22
27,7,164,1261,36
9,54,163,591,39
76,58,194,736,33
65,41,233,627,22
77,2,282,491,23
8,18,278,453,34
86,68,84,1497,31
8,18,290,1290,39
92,16,130,480,22
31,42,116,1223,20
56,32,140,636,37
21,53,56,950,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
