XCOORD.,YCOORD.,EST,TWL,DUR
53,94,0,16000,0
90,37,0,16000,0
11,22,0,16000,0
44,56,0,16000,0
10,94,0,16000,0
49,3,0,16000,0
94,71,0,16000,0
11,60,0,16000,0
92,92,0,16000,0
89,7,0,16000,0
94,83,353,250,28
77,2,355,1074,24
8,18,376,1219,31
83,97,144,856,37
10,84,194,698,37
27,7,176,690,37
21,53,314,653,35
77,2,335,907,33
39,2,56,1407,36
75,86,264,1454,39
71,50,330,619,32
42,60,293,706,35
21,53,303,667,37
12,66,179,1101,38
7,32,330,522,24
20,93,221,635,22
42,68,336,1450,34
7,32,220,797,28
88,29,127,873,36
15,2,41,1250,27
38,14,87,992,21
92,16,292,986,38
20,18,133,1173,30
56,32,119,1140,23
42,23,376,456,34
71,50,30,1088,27
15,2,214,742,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
