XCOORD.,YCOORD.,EST,TWL,DUR
94,71,0,16000,0
10,94,0,16000,0
11,22,0,16000,0
90,37,0,16000,0
53,94,0,16000,0
49,3,0,16000,0
92,92,0,16000,0
89,7,0,16000,0
11,60,0,16000,0
44,56,0,16000,0
27,7,153,455,39
10,84,174,1260,31
18,35,135,1192,35
45,85,194,1267,38
27,28,250,441,32
42,60,114,327,38
56,20,320,1437,35
65,41,309,1565,35
42,68,364,489,39
71,96,381,596,22
53,7,470,804,28
77,2,185,149,39
30,58,496,1278,28
56,32,204,522,30
88,29,367,774,32
42,52,372,880,35
42,52,369,520,38
24,80,504,847,39
93,60,595,999,28
53,7,570,1369,33
15,2,386,977,39
39,2,589,1584,34
15,2,612,1512,26
10,42,305,559,31
56,20,381,275,35
77,2,397,1142,36
27,28,548,1413,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
