XCOORD.,YCOORD.,EST,TWL,DUR
11,60,0,16000,0
44,56,0,16000,0
11,22,0,16000,0
49,3,0,16000,0
90,37,0,16000,0
92,92,0,16000,0
53,94,0,16000,0
89,7,0,16000,0
94,71,0,16000,0
10,94,0,16000,0
24,80,340,930,30
78,38,392,1012,28
8,18,310,326,25
12,66,285,649,31
12,66,437,471,34
12,66,429,168,30
77,2,325,153,23
20,18,202,1323,25
15,2,168,1593,28
27,7,486,1552,27
27,28,443,999,21
8,18,343,531,34
27,7,454,103,24
78,38,291,319,24
71,96,438,477,33
24,80,424,260,34
97,72,566,978,25
42,68,481,358,22
71,96,426,612,29
30,75,506,336,22
51,92,310,682,29
42,23,547,1240,22
20,93,492,1584,32
20,93,471,814,24
53,43,360,1474,33
94,83,700,994,21
93,60,705,827,26
77,2,401,290,25
77,2,701,474,26
27,7,606,1270,28
53,7,793,1553,31
56,32,587,535,24
37,33,522,857,25
76,70,566,1550,25
8,18,704,1303,30
20,18,801,905,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
