XCOORD.,YCOORD.,EST,TWL,DUR
10,94,0,16000,0
90,37,0,16000,0
49,3,0,16000,0
11,60,0,16000,0
92,92,0,16000,0
53,94,0,16000,0
11,22,0,16000,0
44,56,0,16000,0
89,7,0,16000,0
94,71,0,16000,0
53,7,320,249,36
12,66,83,134,28
92,16,395,1094,24
30,75,311,1504,23
27,28,151,1126,34
56,32,192,1148,23
27,28,158,1175,34
88,29,444,631,28
30,75,208,520,36
84,55,333,654,24
89,40,308,719,20
65,41,239,877,38
50,71,248,1178,23
56,20,214,1466,27
37,33,405,1357,32
83,97,413,1569,25
94,83,558,322,38
7,32,558,359,37
88,29,389,450,20
78,38,570,1276,32
89,40,320,1494,30
8,18,334,858,23
31,42,613,1113,29
83,97,434,1497,28
22,61,719,200,22
53,7,652,684,29
97,72,707,608,37
45,85,649,723,31
20,18,436,1015,36
42,52,657,1441,34
7,32,696,314,35
84,55,477,420,31
68,65,430,448,23
10,84,807,732,36
8,18,568,163,31
20,93,764,1039,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
