XCOORD.,YCOORD.,EST,TWL,DUR
90,37,0,16000,0
10,94,0,16000,0
92,92,0,16000,0
49,3,0,16000,0
53,94,0,16000,0
44,56,0,16000,0
11,60,0,16000,0
94,71,0,16000,0
89,7,0,16000,0
11,22,0,16000,0
56,32,76,1378,38
68,65,279,407,27
75,86,158,864,34
52,55,296,613,28
51,92,427,1045,37
65,41,295,856,25
20,93,145,1331,27
86,68,421,1430,20
10,42,142,166,20
39,2,387,638,33
7,32,472,1438,24
37,33,335,1146,31
20,18,513,1206,37
21,72,517,911,33
77,2,297,952,26
45,85,409,840,39
65,78,475,362,26
83,97,351,1378,30
77,2,472,1255,31
88,29,519,1552,25
15,2,445,296,31
42,60,363,1539,26
8,96,423,849,37
56,32,390,1340,32
76,70,542,512,35
27,7,345,857,39
7,32,350,593,27
7,32,435,429,35
29,89,637,789,32
21,72,468,1042,34
56,32,494,645,39
15,2,471,862,28
93,60,626,766,29
27,7,579,300,31
97,72,583,1161,22
75,86,469,927,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
