XCOORD.,YCOORD.,EST,TWL,DUR
44,56,0,16000,0
94,71,0,16000,0
49,3,0,16000,0
90,37,0,16000,0
53,94,0,16000,0
92,92,0,16000,0
89,7,0,16000,0
11,60,0,16000,0
10,94,0,16000,0
11,22,0,16000,0
71,50,360,1331,36
65,78,350,716,38
37,33,194,1507,23
68,65,316,328,38
7,32,251,817,35
27,28,139,348,37
39,97,116,802,24
42,52,123,914,23
51,92,378,677,21
56,32,229,801,21
30,58,193,390,32
53,7,216,1427,34
20,93,518,356,39
71,96,324,969,35
31,42,419,399,25
56,20,471,821,37
93,60,457,607,36
94,83,540,633,28
42,52,603,1022,36
27,7,602,1414,31
71,50,398,738,21
21,72,618,463,23
77,2,679,107,27
37,33,638,982,32
68,65,561,1156,26
42,23,388,1549,38
68,65,577,879,39
66,17,620,1283,32
53,7,490,721,37
8,18,579,1011,35
20,93,796,1120,20
88,29,648,1180,22
76,22,693,895,29
42,52,540,316,24
56,32,694,317,29
42,41,663,880,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
