XCOORD.,YCOORD.,EST,TWL,DUR
89,7,0,16000,0
94,71,0,16000,0
49,3,0,16000,0
90,37,0,16000,0
10,94,0,16000,0
92,92,0,16000,0
53,94,0,16000,0
44,56,0,16000,0
11,60,0,16000,0
11,22,0,16000,0
45,85,78,1493,21
30,58,122,661,22
9,54,395,762,25
97,72,174,588,23
65,41,316,810,32
93,60,376,733,27
42,41,214,1262,38
10,42,475,263,33
86,68,352,1127,30
77,2,237,570,20
27,7,499,1563,29
93,60,169,832,37
77,2,502,905,30
76,70,518,1083,25
77,2,199,1196,38
8,96,503,1214,21
7,32,508,1500,36
9,54,365,460,39
30,58,613,520,33
84,55,565,1553,39
84,55,616,1578,21
71,50,365,1289,38
8,18,572,992,23
83,97,326,1093,24
22,61,435,1266,30
18,35,471,298,31
94,83,447,1486,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
