XCOORD.,YCOORD.,EST,TWL,DUR
11,22,0,16000,0
44,56,0,16000,0
89,7,0,16000,0
90,37,0,16000,0
92,92,0,16000,0
11,60,0,16000,0
10,94,0,16000,0
53,94,0,16000,0
94,71,0,16000,0
49,3,0,16000,0
42,68,192,491,28
8,18,124,787,32
66,17,223,432,28
76,58,206,683,26
83,97,298,619,36
8,18,389,1595,24
86,68,363,803,32
9,54,375,442,28
84,55,219,696,36
66,17,173,1475,39
53,7,168,934,23
65,41,343,810,35
53,43,274,854,36
53,7,335,1047,32
10,42,489,1168,26
76,58,415,688,21
9,54,286,570,22
21,72,321,1038,21
77,2,326,1553,24
56,32,409,835,38
66,17,383,617,32
39,2,440,1453,38
59,63,670,907,23
30,58,532,379,38
68,65,372,1580,32
59,63,641,260,39
77,2,383,684,31
89,40,467,666,22
65,78,576,1499,39
78,38,642,1208,37
83,97,581,647,29
92,16,474,1579,23
53,43,780,570,26
76,22,726,481,33
7,32,800,861,38
52,55,547,853,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
