XCOORD.,YCOORD.,EST,TWL,DUR
53,94,0,16000,0
11,60,0,16000,0
44,56,0,16000,0
11,22,0,16000,0
94,71,0,16000,0
89,7,0,16000,0
90,37,0,16000,0
49,3,0,16000,0
92,92,0,16000,0
10,94,0,16000,0
8,18,255,884,25
52,55,244,248,34
77,2,232,1422,39
75,86,120,1353,26
66,17,193,491,22
94,83,233,699,34
59,63,269,1087,29
8,96,328,141,20
18,35,223,881,36
7,32,215,937,36
37,33,388,647,37
15,2,331,1085,33
39,97,215,184,35
8,96,374,969,36
86,68,511,1367,20
30,75,282,1379,36
38,14,492,1040,29
66,17,351,1262,37
71,96,449,305,34
51,92,335,326,26
20,18,282,471,39
9,54,384,1358,35
77,2,659,513,33
97,72,514,1553,29
84,55,479,1178,36
22,61,508,1415,20
86,68,404,1491,36
51,92,539,1467,30
76,22,452,913,30
71,96,622,1127,32
20,18,535,1177,22
42,23,457,160,23
39,97,756,930,20
75,86,640,311,32
27,7,767,1033,23
45,85,675,1386,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
