XCOORD.,YCOORD.,EST,TWL,DUR
49,3,0,16000,0
11,60,0,16000,0
44,56,0,16000,0
94,71,0,16000,0
10,94,0,16000,0
89,7,0,16000,0
11,22,0,16000,0
92,92,0,16000,0
53,94,0,16000,0
90,37,0,16000,0
30,58,375,508,37
31,42,158,663,35
9,54,346,756,36
38,14,170,1176,23
42,60,322,587,27
71,50,317,1245,36
76,22,315,559,22
56,20,338,377,23
59,63,437,1356,35
76,70,489,250,36
42,23,370,892,20
71,96,215,1327,27
75,86,415,1218,24
45,85,443,1328,21
83,97,443,915,20
12,66,439,564,33
38,14,584,865,27
21,72,270,854,37
65,78,313,191,33
83,97,303,1256,34
9,54,550,229,38
45,85,503,845,25
94,83,439,210,26
27,7,352,1210,38
42,60,693,508,28
92,16,693,811,28
71,50,365,546,38
21,53,394,316,20
94,83,603,927,33
76,22,715,519,34
22,61,706,831,30
51,92,676,670,33
94,83,517,1570,39
51,92,705,564,25
42,52,718,1158,26
8,18,719,884,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
