XCOORD.,YCOORD.,EST,TWL,DUR
11,60,0,16000,0
53,94,0,16000,0
90,37,0,16000,0
92,92,0,16000,0
10,94,0,16000,0
44,56,0,16000,0
11,22,0,16000,0
89,7,0,16000,0
94,71,0,16000,0
49,3,0,16000,0
38,14,237,768,30
66,17,213,490,32
37,33,185,1098,28
66,17,124,937,20
20,18,368,1392,23
27,28,134,1293,24
27,7,383,933,23
65,78,461,1279,22
7,32,272,367,27
86,68,405,206,29
52,55,266,910,37
45,85,377,520,33
53,43,319,773,33
76,58,299,681,22
31,42,499,896,34
71,50,594,1412,22
53,7,576,425,37
31,42,546,866,31
22,61,442,1490,39
27,28,580,499,35
7,32,554,1143,20
65,78,417,291,38
53,7,514,1071,32
56,20,418,298,36
8,96,454,440,29
93,60,578,409,26
21,72,676,1369,27
50,71,655,108,37
77,2,516,379,34
75,86,514,102,28
39,2,708,430,26
84,55,743,729,27
65,78,615,1535,23
10,42,715,1211,35
8,18,705,1527,39
71,50,778,355,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
