XCOORD.,YCOORD.,EST,TWL,DUR
92,92,0,16000,0
89,7,0,16000,0
44,56,0,16000,0
11,60,0,16000,0
94,71,0,16000,0
11,22,0,16000,0
53,94,0,16000,0
10,94,0,16000,0
90,37,0,16000,0
49,3,0,16000,0
9,54,113,343,39
76,22,190,1482,22
56,32,399,928,34
77,2,172,477,26
21,53,70,1204,25
21,72,383,215,28
29,89,173,204,20
20,18,134,405,38
15,2,243,328,32
71,96,496,1090,37
78,38,455,561,23
10,42,228,1121,27
39,2,482,1480,31
52,55,487,873,35
86,68,252,693,31
10,42,535,400,22
92,16,534,845,26
10,84,270,408,27
65,41,578,759,30
89,40,544,844,33
53,43,547,1321,23
88,29,394,414,38
12,66,583,1252,38
30,58,648,1520,30
27,28,405,1078,36
76,22,559,1580,32
30,75,710,155,28
75,86,623,810,26
84,55,670,919,32
20,18,735,939,21
86,68,472,1154,26
9,54,779,226,38
27,28,659,1121,26
10,84,516,855,38
59,63,619,306,32
86,68,627,875,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
