XCOORD.,YCOORD.,EST,TWL,DUR
90,37,0,16000,0
89,7,0,16000,0
10,94,0,16000,0
92,92,0,16000,0
53,94,0,16000,0
44,56,0,16000,0
94,71,0,16000,0
11,22,0,16000,0
11,60,0,16000,0
49,3,0,16000,0
71,50,181,357,34
37,33,299,1472,26
20,18,124,502,30
92,16,90,1194,25
21,72,183,347,34
30,75,162,567,25
77,2,431,1294,37
9,54,247,677,29
20,93,475,980,39
78,38,204,895,28
52,55,249,617,36
78,38,385,1430,36
39,2,257,1510,30
78,38,541,682,31
56,20,291,531,22
21,53,444,268,21
76,70,330,1257,29
42,23,269,498,29
66,17,535,1579,33
89,40,486,927,38
39,2,310,1443,22
27,7,536,739,37
77,2,498,1295,28
53,43,374,609,23
83,97,373,406,29
20,93,648,504,35
15,2,695,759,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
