XCOORD.,YCOORD.,EST,TWL,DUR
89,7,0,16000,0
53,94,0,16000,0
94,71,0,16000,0
11,22,0,16000,0
44,56,0,16000,0
92,92,0,16000,0
10,94,0,16000,0
49,3,0,16000,0
11,60,0,16000,0
90,37,0,16000,0
20,93,277,1222,30
56,20,157,1155,26
53,7,242,800,27
39,97,171,196,37
9,54,353,117,21
29,89,380,586,23
39,2,204,436,39
56,32,356,1025,29
18,35,311,1211,22
86,68,208,545,38
31,42,177,697,39
31,42,206,1231,25
31,42,239,115,35
20,18,379,334,36
94,83,215,381,39
27,28,577,526,27
52,55,276,523,27
29,89,284,1174,27
8,18,366,1011,32
65,78,413,766,23
15,2,454,575,20
75,86,407,805,21
12,66,623,374,36
24,80,441,691,20
71,50,407,1560,25
78,38,704,1380,34
66,17,445,1200,39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
