XCOORD.,YCOORD.,EST,TWL,DUR
94,71,0,16000,0
10,94,0,16000,0
90,37,0,16000,0
53,94,0,16000,0
44,56,0,16000,0
11,60,0,16000,0
92,92,0,16000,0
11,22,0,16000,0
89,7,0,16000,0
49,3,0,16000,0
93,60,253,558,35
45,85,31,194,27
94,83,224,1145,30
10,84,78,1044,22
88,29,297,688,22
50,71,164,141,28
20,18,205,975,38
97,72,273,578,29
56,32,271,1539,29
42,68,253,1084,24
21,53,250,481,39
27,28,315,409,20
65,41,466,219,36
78,38,352,1508,21
53,43,205,1238,39
10,84,453,1295,36
83,97,393,197,20
71,96,453,1388,22
30,58,352,1485,34
71,96,385,268,23
30,75,551,102,22
50,71,380,1479,39
89,40,665,283,30
42,60,503,325,35
38,14,408,1217,33
30,58,545,455,38
20,93,509,451,33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
