XCOORD.,YCOORD.,EST,TWL,DUR
10,94,0,16000,0
11,22,0,16000,0
94,71,0,16000,0
53,94,0,16000,0
90,37,0,16000,0
89,7,0,16000,0
11,60,0,16000,0
44,56,0,16000,0
92,92,0,16000,0
49,3,0,16000,0
76,22,55,205,28
65,41,331,878,27
93,60,251,1034,36
77,2,313,1260,33
88,29,421,196,30
20,18,385,862,29
88,29,151,1502,38
7,32,452,480,31
24,80,455,797,29
8,96,380,1274,21
42,60,484,441,29
18,35,288,420,23
37,33,318,180,36
20,18,214,1430,34
93,60,221,1039,38
10,42,368,296,23
38,14,395,1329,28
42,68,519,983,33
77,2,621,1487,23
71,96,523,1040,38
30,75,611,1305,36
21,53,598,321,38
51,92,325,779,25
39,97,610,1520,28
71,96,430,1437,26
12,66,391,557,36
45,85,663,901,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
