XCOORD.,YCOORD.,EST,TWL,DUR
10,94,0,16000,0
53,94,0,16000,0
89,7,0,16000,0
11,22,0,16000,0
11,60,0,16000,0
49,3,0,16000,0
44,56,0,16000,0
94,71,0,16000,0
92,92,0,16000,0
90,37,0,16000,0
42,52,90,824,25
65,78,391,1258,28
77,2,148,1072,25
76,22,314,381,28
66,17,83,922,22
92,16,308,366,37
92,16,269,1576,33
31,42,265,1142,22
94,83,116,341,36
42,60,362,1503,23
20,18,456,1230,24
20,18,518,1357,29
29,89,523,567,33
65,41,453,1172,25
66,17,303,1571,26
93,60,532,202,35
37,33,356,750,39
86,68,441,717,36
8,96,597,1293,23
30,58,415,1323,28
76,58,608,891,22
94,83,551,838,26
71,50,474,1235,22
20,18,557,281,27
75,86,681,1171,25
12,66,457,755,22
92,16,451,336,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
