XCOORD.,YCOORD.,EST,TWL,DUR
89,7,0,16000,0
44,56,0,16000,0
10,94,0,16000,0
90,37,0,16000,0
49,3,0,16000,0
53,94,0,16000,0
94,71,0,16000,0
92,92,0,16000,0
11,22,0,16000,0
11,60,0,16000,0
56,32,52,754,30
8,96,354,1480,39
10,84,330,553,31
20,93,340,1481,30
42,23,326,1256,20
12,66,197,1423,37
94,83,370,393,31
77,2,373,1064,38
65,41,160,1268,30
71,50,273,126,24
15,2,357,159,26
12,66,246,201,37
66,17,315,502,34
86,68,522,283,30
8,18,278,439,29
51,92,522,265,38
27,7,462,387,29
56,20,356,1146,26
39,97,439,419,29
75,86,319,234,39
9,54,544,107,20
27,7,336,939,39
65,78,356,759,21
8,18,371,1477,32
27,7,482,1358,29
92,16,664,642,38
50,71,697,418,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
