XCOORD.,YCOORD.,EST,TWL,DUR
94,71,0,16000,0
53,94,0,16000,0
90,37,0,16000,0
44,56,0,16000,0
92,92,0,16000,0
11,60,0,16000,0
10,94,0,16000,0
49,3,0,16000,0
11,22,0,16000,0
89,7,0,16000,0
9,54,84,725,35
92,16,132,1198,24
71,96,202,1137,21
18,35,368,468,35
51,92,438,810,27
88,29,410,121,30
42,52,427,446,22
97,72,275,833,30
42,68,466,377,26
30,75,425,491,32
83,97,354,1011,29
53,43,289,894,23
71,50,398,463,35
10,84,269,744,39
30,58,444,1587,32
27,28,466,533,27
39,2,544,228,30
92,16,251,130,32
53,43,288,1158,22
10,84,479,1527,30
7,32,583,684,29
18,35,540,521,30
10,84,366,715,23
12,66,486,455,23
76,70,653,285,37
8,18,537,552,22
59,63,676,1565,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
